,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
Marcel Tisserand,,,,,,5.79,5.66,5.95,6.06,6.79
Mamoudou Karamoko,,,,,,6.75,,,,
Alexander Esswein,,,,,,6.88,6.74,7.98,6.72,7.26
Per Ciljan Skjelbred,,,,,,7.57,7.91,7.95,5.88,7.14
Dennis Smarsch,,,,,,7.28,,,,
Salomon Kalou,,,,,,6.98,5.45,8.02,7.97,6.56
Thomas Kraft,,,,,,5.66,6.93,6.28,,5.51
Pascal Köpke,,,,,,6.88,5.59,,,
Simon Falette,,,,,,7.92,6.49,6.58,7.68,
Ante Rebić,5.83,,7.72,7.84,5.77,5.92,5.69,7.44,6.11,7.36
Jonathan de Guzmán,,,,,,6.37,5.68,5.75,6.13,7.81
Gelson Fernandes,,,,,,5.74,6.27,6.75,5.51,7.16
Dejan Joveljić,,,,,,5.29,,,,
Felix Wiedwald,,,,,,7.71,,,6.99,5.73
Toni Leistner,,,,,,6.69,,,,
Christian Clemens,,,,,,8.04,,7.57,6.96,5.79
Marcel Risse,,,,,,6.59,,7.83,7.98,6.01
Birger Verstraete,,,,,,6.57,,,,
Lasse Sobiech,,,,,,5.94,,,,
George Timotheou,,,,,,,7.98,,,
Haji Wright,,,,,,,6.35,,,
Jonas Carls,,,,,,,5.6,,,
Mario Gómez,,,,,,,6.61,6.42,7.8,
Dennis Aogo,,,,,,,5.66,7.82,7.6,8.15
Anastasios Donis,,,,6.36,5.86,5.42,6.7,8.28,6.13,
Emiliano Insúa,,,,,,,7.14,8.01,,5.61
Andreas Beck,,,,,,,6.67,6.04,,
Holger Badstuber,,,,,,,6.68,8.17,6.43,7.48
Chadrac Akolo,,,,,,6.0,7.87,5.88,,
Berkay Özcan,,,,,,,7.47,7.24,,
Antonis Aidonis,,,,,,,5.99,,,
Luca Plogmann,,,,,,,6.77,,,
Ewerton,,,,,,,8.03,,,
Georg Margreitter,,,,,,,8.2,,,
Enrico Valentini,,,,,,,6.1,,,
Christian Mathenia,,,,,,,5.77,5.9,7.06,6.34
Sebastian Kerk,,,,,,,7.14,,,
Ondřej Petrák,,,,,,,6.71,,,
Lukas Mühl,,,,,,,7.37,,,
Mikael Ishak,,,,,,,6.98,,,
Adam Zreľák,,,,,,,5.7,,,
Robert Bauer,,,,,,,5.56,5.94,7.23,6.99
Tim Leibold,,,,,,,5.8,,,
Yuya Kubo,,,,,,,5.95,,,
Törles Knöll,,,,,,,5.56,7.36,,
Alexander Fuchs,,,,,,,7.86,,,
Hanno Behrens,,,,,,,7.64,,,
Edgar Salli,,,,,,,7.78,,,
Ivo Iličević,,,,,,,7.16,,,6.83
Kevin Goden,,,,,,,7.52,,,
Virgil Misidjan,,,,,,,6.3,,,
Lukas Jäger,,,,,,,6.54,,,
Simon Rhein,,,,,,,6.69,,,
Jean-Kévin Augustin,,,,5.7,5.87,5.72,5.41,6.9,6.67,6.61
Marco Terrazzino,,,,,,,8.01,7.56,7.84,
Christoph Daferner,,,,,,,5.58,,,
Yoric Ravet,,,,,,,6.91,7.84,,
Chima Okoroji,,,,,,,6.56,,,
Sebastian Jung,,,,,,,5.95,5.38,7.78,6.3
Paul Verhaegh,,,,,,,7.41,6.27,5.98,5.86
John Yeboah,6.07,,,,,,5.33,,,
Jakub Błaszczykowski,,,,,,,5.44,6.09,5.57,5.94
Fabian Lustenberger,,,,,,,7.7,5.74,7.43,7.39
Palkó Dárdai,,,,,,,7.06,5.32,,
Derrick Luckassen,,,,,,,5.37,,,
Marco Fabián,,,,,,,6.34,5.77,6.43,6.09
Marc Stendera,,,,,,,6.8,6.08,8.07,6.36
Carlos Salcedo,,,,,,,6.93,6.01,5.63,
Marco Russ,,,,,,,6.21,6.22,5.48,5.57
Taleb Tawatha,,,,,,,6.16,5.64,5.68,
Edgar Prib,,,,,,,7.65,,,6.11
Samuel Şahin-Radlinger,,,,,,,7.05,,,
Pirmin Schwegler,,,,,,,6.14,5.95,7.7,6.47
Uffe Bech,,,,,,,6.97,,,7.83
Hendrik Weydandt,,,,,,,6.85,,,
Felipe Vizeu,,,,,,,6.69,7.7,,6.65
Iver Fossum,,,,,,,5.84,6.39,,8.09
Walace,,8.0,6.78,5.89,7.56,7.74,6.91,6.82,7.21,
Oliver Sorg,,,,,,,5.5,5.98,,6.99
Nicolai Müller,,,,,,,6.36,5.64,6.31,7.55
Matthias Ostrzolek,,,,,,,6.94,8.19,6.34,8.0
Bobby Wood,,,,,,,5.97,5.55,7.49,
Sebastian Soto,,,,,,,7.72,,,
Julian Korb,,,,,,,6.68,7.89,7.22,7.58
Marvin Bakalorz,,,,,,,5.16,6.49,,
Miiko Albornoz,,,,,,,5.9,7.68,,5.85
Tim Dierßen,,,,,,,5.25,,,6.27
Benjamin Hadžić,,,,,,,7.2,,,
Josip Elez,,,,,,,5.24,6.72,,
Philipp Tschauner,,,,,,,6.23,6.68,,
Ramazan Özcan,,,,,,,6.57,7.04,,6.54
Isaac Kiese Thelin,,,,,,,6.52,,7.24,7.43
Takashi Usami,,,,,,,5.97,,6.7,
Davor Lovren,,,,,,,7.62,,,
Michael Rensing,,,,,,,7.6,,,
Jaroslav Drobný,,,,,,,6.09,,7.67,6.03
Arjen Robben,,,,,,,6.65,7.02,7.8,7.31
Rafinha,,,,,,,8.21,8.42,5.93,7.97
Franck Ribéry,,,6.03,6.66,7.2,6.49,5.73,7.15,6.42,7.47
Sandro Wagner,,,,,,,7.17,6.28,8.08,6.57
Koo Ja-cheol,,,,,,,5.53,6.21,6.7,6.95
Felix Götze,,,,,,,5.42,,,
Christoph Janker,,,,,,,6.02,6.23,6.52,6.94
Jan-Ingwer Callsen-Bracker,,,,,,,6.78,,,6.33
Fabian Giefer,,,,,,,5.64,,,
Shinji Kagawa,,,,,,,5.37,6.55,7.02,7.08
Niko Bungert,,,,,,,8.07,,7.49,5.75
Giulio Donati,,5.11,7.58,,,6.41,6.6,7.69,8.1,6.38
Ahmet Gürleyen,,,,,,,7.35,,,
Gaëtan Bussmann,,,,,,,7.08,,7.9,7.08
Joshua Brenet,,,,,,,6.42,,,
David Otto,,,,,,,6.61,,,
Marko Pjaca,,,6.79,6.01,6.64,,5.62,5.66,6.94,
Ailton,,,,,,,,5.67,,
Ebenezer Ofori,,,,,,,,6.5,,
Dženis Burnić,,,,,,,,6.35,6.71,
Zlatko Junuzović,,,,,,,,8.16,6.61,7.54
Lamine Sané,,,,,,,,6.89,6.22,6.1
Luca Caldirola,6.76,7.89,6.35,,5.54,,,7.85,7.77,7.82
Aron Jóhannsson,,,,,,,,7.47,6.84,10.0
Ulisses Garcia,7.92,6.55,,,,,,6.48,5.19,6.42
Ole Käuper,,,,,,,,6.51,,
Marvin Compper,,,,,,,,6.06,6.47,
Dominik Kaiser,,,,,,,,6.69,6.79,
Riechedly Bazoer,,,,,,,,5.63,7.39,
Paul-Georges Ntep,,,,,,,,6.29,6.43,6.09
Victor Osimhen,,8.29,5.99,6.62,7.16,6.02,,6.36,7.59,
Kaylen Hinds,,,,,,,,5.18,,
Vincent Sierro,8.29,6.41,7.66,,,,,8.11,,
Julian Schuster,,,,,,,,5.93,5.62,
Bartosz Kapustka,,,,,,,,6.95,,
Karim Guédé,,,,,,,,6.86,7.95,
Ryan Kent,,,,,,,,6.92,,
Caleb Stanko,,,,,,,,5.22,,
Florian Kath,,,,,,,,7.19,,
Onur Bulut,,,,,,,,6.08,6.7,
Aaron Hunt,,,,,6.81,7.65,,6.23,7.04,7.17
Douglas Santos,,,,,,,,8.34,6.59,
Kyriakos Papadopoulos,,,,,,,,5.93,7.69,8.02
Dennis Diekmeier,,,,,,,,6.17,7.35,7.07
Mërgim Mavraj,,,,,,,,8.02,6.63,6.28
Vasilije Janjicic,,,,,,,,7.66,6.42,
Albin Ekdal,,,7.53,5.8,6.53,6.67,7.98,6.69,6.68,7.36
Ville Matti Steinmann,,,,,,,,5.78,,
Julian Pollersbeck,,,,7.01,,,,6.38,,
Gōtoku Sakai,,,,,,,,6.13,5.94,7.84
Stephan Ambrosius,,,,,,,,7.5,,
Mohamed Gouaida,,,,,,,,7.63,,
Sejad Salihović,,,,,,,,5.76,,
Tatsuya Ito,,,,,,,,6.9,,
Rick van Drongelen,,,,,,,,6.66,,
Bakery Jatta,,,,,,,,5.8,6.72,
Valentin Stocker,,,,,,,,6.3,7.61,6.86
Alexander Meier,,,,,,,,7.85,6.75,6.79
Slobodan Medojević,,,,,,,,5.85,,6.02
Marijan Ćavar,,,,,,,,5.29,,
Charlison Benschop,,,,,,,,7.84,,6.96
Sebastian Maier,,,,,,,,6.67,,
Dominic Maroh,,,,,,,,8.52,7.89,7.17
Miloš Jojić,,,,,,,,7.64,6.0,5.73
Tim Handwerker,,,,,,,,6.01,,
Matthias Lehmann,,,,,,,,5.49,8.17,7.49
Konstantin Rausch,,,,,,,,6.05,7.66,7.86
Vincent Koziello,,,,,,,,7.38,5.89,6.91
Paweł Olkowski,,,,,,,,6.86,7.37,5.47
Filip Kusić,,,,,,,,5.58,,
Birk Risa,,,,,,,,6.56,,
Anas Ouahim,,,,,,,,5.97,,
André Ramalho,,,,,,,,7.05,7.08,7.23
Stefan Kießling,,,,,,,,6.98,7.75,6.59
Jeremy Toljan,,7.01,5.86,7.0,5.48,6.92,,5.54,6.21,5.33
Roman Weidenfeller,,,,,,,,6.05,7.64,8.4
Fabian Frei,,,,,,,,7.79,7.93,5.78
René Adler,,,,,,,,6.2,5.8,5.7
Emil Berggreen,,,,,,,,6.54,,
Nigel de Jong,,,,,,,,6.04,,7.35
Daniel Opare,,,,,,,,5.92,,5.96
Gojko Kačar,,,,,,,,7.11,6.73,6.4
Kilian Jakob,,,,,,,,5.58,,
Marcel Heller,,,,,,,,7.31,5.73,6.11
Shawn Parker,,,,,,,,5.27,,
Tom Starke,,,,,,,,6.09,7.21,
Lars Lukas Mai,,,,,,,,6.25,,
Franck Evina,,,,,,,,7.7,,
Meritan Shabani,,,,,,,,6.1,,
Robert Žulj,,,,,,,,7.16,,
Eugen Polanski,,,,,,,,6.85,6.53,6.12
Philipp Ochs,,,,,,,,6.19,6.95,5.96
Florian Mayer,,,,,,,,6.95,,
Julio Villalba,,,,,,,,6.21,,
Raúl Bobadilla,,,,,,,,6.95,7.99,7.4
Mandela Egbo,,,,,,,,7.62,,
Benedikt Höwedes,,,,,,,,6.18,5.96,8.03
Donis Avdijaj,,,,,,,,,6.13,
Sascha Riether,,,,,,,,,6.07,7.71
Júnior Caiçara,,,,,,,,,6.17,5.67
Clemens Fritz,,,,,,,,,6.25,7.79
Thanos Petsos,,,,,,,,,7.38,
Santiago García,,,,,,,,,7.63,6.17
Lennart Thy,,,,,,,,,5.85,
Ousman Manneh,,,,,,,,,6.57,
Fallou Diagne,,,,,,,,7.0,7.52,8.29
Janek Sternberg,,,,,,,,,5.35,6.26
Lukas Fröde,,,,,,,,,6.62,5.43
Sambou Yatabaré,,,,,,,,,5.8,7.49
Fabio Coltorti,,,,,,,,,8.47,
Massimo Bruno,,,,,,,,,5.82,
Luiz Gustavo,,,,,,6.56,7.43,7.78,6.07,6.29
Julian Draxler,,,,7.7,7.34,7.16,6.98,6.62,5.95,6.66
Christian Träsch,,,,,,,,,7.81,6.78
Vieirinha,,,,,,,,,7.41,5.73
Diego Benaglio,,,,,,,6.46,7.2,7.38,7.45
Bruno Henrique,,,,,,,,,5.5,7.87
Marcel Schäfer,,,,,,,,,5.85,5.86
Justin Möbius,,,,,,,,,6.14,
Hendrik Hansen,,,,,,,,,5.76,
Jonas Meffert,,,,,,,,,5.67,
Marc Torrejón,,,,,,,,,6.62,
Georg Niedermeier,,,,,,,,,5.88,6.01
Aleksandar Ignjovski,,,,,,,,,5.77,7.41
Mats Møller Dæhli,,,,,,,,,5.97,
Emir Spahić,,,,,,,,,5.66,6.16
Pierre-Michel Lasogga,,,,,,,,,6.03,6.24
Tom Mickel,,,,,,,,,6.39,7.9
Johan Djourou,,,,,,,5.81,,5.95,6.3
Nabil Bahoui,,,,,,,,,6.59,6.34
Cléber,,,,,,,,,7.0,8.16
Ashton Götz,,,,,,,,,6.12,
Jens Hegeler,,,,,,,,,6.44,6.0
Sami Allagui,,,,,,,,,7.48,
Julius Kade,,,,,,,,,5.67,
Florian Baak,,,,,,,,,5.97,
Szabolcs Huszti,,,,,,,,,6.25,6.2
Anderson Ordóñez,,,,,,,,,7.54,
Max Besuschkow,,,,,,,,,6.8,
Heinz Lindner,,,,,,,,,6.01,
Shani Tarashaj,,,,,,,,,6.54,
Hamit Altıntop,,,,,,,,,6.83,
Florian Jungwirth,,,,,,,,,6.67,7.23
Victor Obinna,,,,,,,,,7.3,
Daniel Heuer Fernandes,,,,,,,,,7.8,
Felix Platte,,,,,,,,,6.72,6.31
Markus Steinhöfer,,,,,,,,,5.99,
Aytaç Sulu,,,,,,,,,6.3,7.05
Peter Niemeyer,,,,,,,,,5.9,7.39
Alexander Milošević,,,,,,,,,6.76,5.57
Patrick Banggaard,,,,,,,,,7.0,
Immanuel Höhn,,,,,,,,,7.18,
Antonio Čolak,,,,,,,,,6.43,
Roman Bezjak,,,,,,,,,6.45,
Denys Oliynyk,,,,,,,,,7.3,
Artem Fedetskyi,,,,,,,,,7.25,
Benjamin Gorka,,,,,,,,,7.34,6.0
Leon Guwara,,,,,,,,,7.35,6.31
László Kleinheisler,,,,,,,,,7.0,5.34
Dominik Stroh-Engel,,,,,,,,,6.41,7.63
Sandro Sirigu,,,,,,,,,5.42,6.29
Jan Rosenthal,,,,,,,,,6.29,6.73
Terrence Boyd,,,,,,,,,6.48,
Wilson Kamavuaka,,,,,,,,,5.42,
Sidney Sam,,,,,,,,,7.32,6.96
Änis Ben-Hatira,,,,,,,,,6.4,5.35
Sven Müller,,,,,,,,,6.05,
Thomas Kessler,,,,,,,,,7.27,4.82
Artjoms Rudņevs,,,,,,,,,5.72,5.97
Filip Mladenović,,,,,,,,,6.45,8.07
Hakan Çalhanoğlu,8.48,7.34,6.24,6.65,7.72,7.54,6.78,7.95,7.01,6.08
Vladlen Yurchenko,,,,,,,,,5.99,6.11
Roberto Hilbert,,,,,,,,,5.51,7.61
Mounir Bouziane,,,,,,,,,6.27,
Josh Pask,,,,,,,,,5.95,7.84
Markus Feulner,,,,,,,,,6.73,6.73
Halil Altıntop,,,,,,,,,5.53,6.84
Tim Rieder,,,,,,,,,6.56,
Julian Günther-Schmidt,,,,,,,,,5.89,
Almog Cohen,,,,,,,,,8.43,7.53
Romain Brégerie,,,,,,,,,8.31,6.36
Marvin Matip,,,,,,,,,6.44,7.16
Dario Lezcano,,,,,,,,,8.11,7.3
Tobias Levels,,,,,,,,,8.04,0.0
Lukas Hinterseer,,,,,,,,,6.29,6.98
Sonny Kittel,,,,,,,,,5.44,5.41
Martin Hansen,,,,,,,,,7.25,
Stefan Lex,,,,,,,,,7.81,7.17
Moritz Hartmann,,,,,,,,,5.78,8.06
Robert Leipertz,,,,,,,,,6.13,
Maurice Multhaup,,,,,,,,,5.63,7.03
Xabi Alonso,,,,,,,,,8.4,6.46
Philipp Lahm,,,,,,,,,5.86,7.75
Barış Atik,,,,,,,,,7.21,
Eduardo Vargas,,,,,,,,,7.24,6.12
Ba-Muaka Simakala,,,,,,,,,5.57,
Roman Neustädter,,,,,,,,,,7.47
Younès Belhanda,,,,,,,,,7.04,6.0
Mitchell Langerak,,,,,,,,,,8.09
Serey Die,,,,,,,,,,6.42
Arianit Ferati,,,,,,,,,,7.75
Toni Šunjić,,,,,,,,,7.06,6.14
Daniel Schwaab,,,,,,,,,,6.93
Philip Heise,,,,,,,,,,5.5
Florian Klein,,,,,,,,,,7.6
Borys Tashchy,,,,,,,,,,7.57
Adam Hloušek,,,,,,,,,,7.42
Kevin Großkreutz,,,,,,,,,,6.25
Jan Kliment,,,,,,,,,,6.91
Mart Ristl,,,,,,,,,,6.25
Arnaud Lusamba,,,,,,6.23,,6.49,6.23,6.08
Marcel Hilßner,,,,,,,,,,6.83
Melvyn Lorenzen,,,,,,,,,,6.18
Oliver Hüsing,,,,,,,,,,7.08
Özkan Yıldırım,,,,,,,,,,7.1
Luca Ranieri,7.2,6.14,7.18,7.92,,5.82,,,,5.68
Francisco Perez,,,,,,,,,,7.21
Dante,5.77,7.64,6.96,7.12,6.07,6.72,7.97,5.82,7.7,8.11
Nicklas Bendtner,,,,,,,,,,6.58
Carlos Ascues,,,,,,,,,,7.23
Ismail Azzaoui,,,,,,,,,,7.43
Leandro Putaro,,,,,,,,,,7.39
Zoltán Stieber,,,,,,,,,,6.91
Ivica Olić,,,,,,,,,,5.89
Batuhan Altıntaş,,,,,,,,,,6.77
Andreas Hirzel,,,,,,,,,,5.36
Florian Kohls,,,,,,,,,,8.15
Alexander Baumjohann,,,,,,,,,,5.31
Johannes van den Bergh,,,,,,,,,,6.18
Ronny,,,,,,,,,,6.52
Roy Beerens,,,,,,,,,,5.6
Luc Castaignos,,,,,,,,,,6.58
Stefan Reinartz,,,,,,,,,,7.36
Carlos Zambrano,,,,,,,,,,8.08
David Kinsombi,,,,,,,,,,7.02
Stefan Aigner,,,,,,,,,,7.21
Joel Gerezgiher,,,,,,,,,,5.68
Johannes Flum,,,,,,,,,,6.79
Constant Djakpa,,,,,,,,,,6.8
Yanni Regäsel,,,,,,,,,,7.22
Václav Kadlec,,,,,,,,,,5.98
Ceyhun Gülselam,,,,,,,,,,6.7
Artur Sobiech,,,,,,,,,,5.91
Hugo Almeida,,,,,,,,,,5.95
Hotaru Yamaguchi,,,,,,,,,,7.95
Leon Andreasen,,,,,,,,,,7.75
Christian Schulz,,,,,,,,,,6.23
Hiroki Sakai,,,,,6.41,5.5,6.44,8.11,7.53,6.59
Mevlüt Erdinç,,,,,,,,,7.65,5.8
Fynn Arkenberg,,,,,,,,,,5.83
Mike-Steven Bähre,,,,,,,,,,6.38
Valmir Sulejmani,,,,,,,,,,6.59
Slobodan Rajković,,,,,,,,,5.52,7.17
Júnior Díaz,,,,,,,,,,6.23
György Garics,,,,,,,,,,5.59
Marco Sailer,,,,,,,,,,5.76
Łukasz Załuska,,,,,,,,,,5.56
Philipp Hosiner,,,,,,,,,,5.31
Kazuki Nagasawa,,,,,,,,,,7.12
Dušan Švento,,,,,,,,,,7.37
Marlon Frey,,,,,,,,,,7.28
Sebastian Boenisch,,,,,,,,,,7.83
Robbie Kruse,,,,,,,,,,6.36
David Yelldell,,,,,,,,,,6.97
Dario Krešić,,,,,6.76,8.32,,,,5.75
Konstantin Engel,,,,,,,,,,8.03
Tomáš Pekhart,,,,,,,,,,7.01
Stefan Wannenwetsch,,,,,,,,,,0.0
Christoph Moritz,,,,,,,,,,7.41
Pierre Bengtsson,,,,,,,,,7.92,6.78
Maximilian Beister,,,,,,,,,,5.53
Gonzalo Jara,,,,,,,,,,5.37
Jeong Woo-yeong,,,,,,,,,,5.64
Tobias Werner,,,,,,,,,,7.85
Piotr Trochowski,,,,,,,,,,7.92
Sascha Mölders,,,,,,,,,,6.88
Tim Matavž,,,,,,,,,,5.93
Alex Manninger,,,,,,,,,,5.84
Medhi Benatia,,,,,,,5.82,8.04,6.1,8.3
Serdar Tasci,,,,,,,,,,8.03
Tarik Elyounoussi,,,,,,,,,,6.33
Jessy Pi,,,,,,,,,6.13,6.09
Russell Canouse,,,,,,,,,,5.87
Kevin Kurányi,,,,,,,,,,6.79
Jiloan Hamad,,,,,,,,,,6.38
Álvaro Domínguez,,,,,,,,,,5.81
Roel Brouwers,,,,,,,,,,6.92
Martin Stranzl,,,,,,,,,,5.39
Simone Perilli,6.31,7.15,8.28,,,,,,,
Daniel Mosquera,8.1,,,,,,,,,
Casper Tengstedt,6.6,,,,,,,,,
Daniele Ghilardi,6.05,,,,,,,,,
Darko Lazović,7.38,7.87,8.25,8.08,6.63,6.83,7.48,7.06,7.75,5.89
Martin Frese,6.8,,,,,,,,,
Abdou Harroui,5.5,6.7,6.55,6.08,,,,,,
Tomáš Suslov,7.73,5.8,,,,,,,,
Diego Coppola,7.29,7.31,6.03,7.07,,,,,,
Mathis Lambourde,6.5,5.71,,,,,,,,
Reda Belahyane,6.96,6.93,6.78,,,,,,,
Grigoris Kastanos,7.21,7.33,5.8,7.68,,,7.94,,6.9,
Giangiacomo Magnani,5.97,7.17,6.74,5.44,5.59,6.43,6.14,,,
Jackson Tchatchoua,6.56,6.93,,,,,,,,
Lorenzo Montipò,7.59,6.54,5.99,7.71,6.69,,,,,
Domagoj Bradarić,5.73,6.58,5.43,5.75,6.42,5.83,,,,
Flavius Daniliuc,7.31,7.8,7.76,6.73,5.52,,,,,
Dailon Livramento,5.67,,,,,,,,,
Paweł Dawidowicz,4.97,5.99,5.45,6.38,7.88,6.62,,,,
Davide Faraoni,6.32,8.18,7.19,5.85,8.01,7.74,,7.03,6.27,
Nicola Leali,7.48,8.52,,,,,,,,6.36
Morten Frendrup,7.24,5.67,,5.76,,,,,,
Andrea Pinamonti,6.14,6.25,5.77,7.91,7.01,6.37,6.96,6.85,5.8,
Ruslan Malinovskyi,8.32,6.05,7.49,8.34,6.99,6.42,,,,
Milan Badelj,8.13,5.72,,5.72,6.17,6.03,6.89,6.39,7.6,7.14
Lior Kasa,7.25,,,,,,,,,
Junior Messias,6.87,7.26,6.57,6.03,7.37,,,,,
Johan Vásquez,7.15,6.97,7.83,8.01,,,,,,
Koni De Winter,7.47,5.54,7.09,,,,,,,
Pierluigi Gollini,6.98,5.97,7.83,,5.56,6.95,5.72,8.05,6.86,7.08
Patrizio Masini,7.02,,,,,,,,,
Alessandro Zanoli,7.52,7.55,7.33,7.69,,,,,,
Mattia Bani,6.6,5.63,,6.14,7.58,7.84,7.8,7.72,,
Fabio Miretti,6.93,6.22,6.06,7.56,,,,,,
Jeff Ekhator,7.78,,,,,,,,,
Alessandro Vogliacco,6.34,6.44,,,,,,,,
Stefano Sabelli,7.18,6.21,,7.09,,7.44,,,,7.72
Alan Matturro,5.59,5.58,,,,,,,,
Caleb Ekuban,6.58,6.61,,6.18,,,,,,
Emil Bohinen,5.97,7.68,6.01,6.22,,,,,,
Honest Ahanor,7.48,,,,,,,,,
Gastón Pereiro,6.45,,,7.74,7.06,7.59,,,,
Mario Balotelli,6.19,,,,,6.67,6.03,8.69,6.07,6.39
Federico Accornero,5.23,,,,,,,,,
Filippo Melegoni,7.49,,,7.91,5.31,,,,8.63,
Brooke Norton-Cuffy,6.57,,,,,,,,,
Alessandro Marcandalli,7.22,,,,,,,,,
Sebastiano Esposito,8.64,,,,,7.75,,,,
Ardian Ismajli,6.81,7.84,7.66,6.38,8.09,,,,,
Mattia Viti,6.97,5.77,5.62,5.78,,,,,,
Jacopo Fazzini,5.56,8.06,7.78,,,,,,,
Lorenzo Colombo,7.36,6.62,6.86,,7.17,7.19,,,,
Devis Vásquez,7.07,,,,,,,,,
Emmanuel Gyasi,6.04,5.98,7.15,6.67,8.04,,,,,
Giuseppe Pezzella,8.01,6.63,5.87,7.37,7.64,6.51,7.3,7.1,7.31,6.59
Alberto Grassi,5.78,5.6,5.49,7.83,7.62,6.14,6.84,6.01,6.85,6.98
Youssef Maleh,6.91,8.08,6.57,7.72,,,,,,
Liam Henderson,7.62,6.56,5.45,7.29,,7.72,,,,
Liberato Cacace,7.14,5.43,7.8,5.86,,,,,,
Saba Goglichidze,7.34,,,,,,,,,
Pietro Pellegri,6.51,6.23,6.61,6.33,7.53,,5.58,7.21,7.07,
Luca Marianucci,7.87,,,,,,,,,
Nicolas Haas,7.25,7.97,6.7,7.52,,,,6.84,,
Ismael Konate,5.96,,,,,,,,,
Junior Sambia,7.03,7.53,6.58,7.5,7.14,7.52,5.93,7.04,,
Ola Solbakken,7.71,7.28,7.74,,,,,,,
Mattia De Sciglio,5.91,7.31,7.32,5.74,5.6,6.42,7.29,6.77,5.92,5.43
Emmanuel Ekong,5.5,5.95,6.72,,,,,,,
Francesco Caputo,7.57,6.39,5.78,7.43,8.1,8.63,5.84,,,
Petar Stojanović,5.79,,6.5,5.69,,,,,,
Saba Sazonov,5.41,5.58,,,,,,,,
Vanja Milinković-Savić,8.55,8.31,6.3,6.41,7.44,,8.28,8.0,,
Alberto Paleari,6.01,,,,4.0,,,,,
Duván Zapata,7.04,8.53,7.22,5.73,6.29,5.88,7.94,8.21,7.09,6.19
Ivan Ilić,7.05,7.8,8.03,6.66,7.53,,,,,
Samuele Ricci,6.33,6.58,7.0,5.89,,,,,,
Gvidas Gineitis,7.69,7.1,5.2,,,,,,,
Sebastian Walukiewicz,8.12,5.99,6.26,6.21,5.57,6.69,,,,
Mërgim Vojvoda,7.27,7.93,6.11,7.18,6.51,,,,,
Fallou Njie,8.0,,,,,,,,,
Karol Linetty,5.91,7.73,5.83,6.18,7.34,5.9,6.69,7.01,8.14,
Yann Karamoh,5.51,6.22,5.55,,5.87,6.2,7.79,7.88,5.36,
Adrien Tameze,5.36,7.95,6.48,6.92,6.4,7.19,7.05,5.69,,
Marcus Pedersen,5.42,5.3,,,,,,,,
Ali Dembélé,7.08,,,,,,,,,
Jesse Joronen,8.3,,,,,8.21,,,,
Filip Stankovic,7.05,,,,,,,,,
Gianluca Busio,6.16,,,5.92,,,,,,
Michael Svoboda,7.39,,,5.88,,,,,,
Hans Nicolussi Caviglia,7.12,7.14,7.27,,,,7.56,,,
Gaetano Oristanio,7.81,7.33,,,,,,,,
Mikael Ellertsson,6.86,,6.96,,,,,,,
Magnus Kofod Andersen,5.92,,,,,,,,,
Alfred Duncan,6.71,5.76,7.61,7.6,7.42,6.49,5.54,5.33,6.69,6.82
Jay Idzes,7.98,,,,,,,,,
Marin Šverko,5.54,,,,,,,,,
Giorgio Altare,5.4,,,8.03,,,,,,
Ridgeciano Haps,7.29,7.87,,6.48,,,,,,
Antonio Candela,5.86,,,,,,,,,
Domen Črnigoj,7.8,,6.62,6.52,,,,,,
Nunzio Lella,6.11,,,,,,,,,
Franco Carboni,7.14,,6.28,,,,,,,
Francesco Zampano,6.85,,,,,,7.13,5.69,6.18,
Christian Gytkjær,6.78,,5.69,,,,,,,
Antonio Raimondo,6.6,,7.2,6.77,,,,,,
Richie Sagrado,6.09,,,,,,,,,
Nicholas Pierini,5.75,,,,,,,5.54,,
Issa Doumbia,7.26,,,,,,,,,
Saad El Haddad,5.9,,,,,,,,,
Joël Schingtienne,8.0,,,,,,,,,
Rafael Leão,5.92,7.83,5.83,7.84,7.16,5.57,8.17,,,
Mike Maignan,6.76,7.91,5.97,6.2,6.1,5.47,8.32,6.14,7.68,7.19
Tijjani Reijnders,6.16,7.46,,,,,,,,
Ismaël Bennacer,8.49,8.4,7.06,6.72,6.25,6.85,8.36,,,
Strahinja Pavlović,6.33,,,7.66,,,,,,
Youssouf Fofana,7.4,7.09,6.44,6.51,6.56,6.0,7.47,,,
Mattia Liberali,7.37,,,,,,,,,
Davide Calabria,5.91,7.1,8.09,8.21,6.69,6.97,7.75,6.83,7.77,7.07
Filippo Terracciano,6.78,6.28,5.98,6.39,,,,,,
Kevin Zeroli,6.11,7.19,,,,,,,,
Noah Okafor,7.69,6.97,,,,,,,,
Francesco Camarda,6.51,5.5,,,,,,,,
Davide Bartesaghi,5.29,7.38,,,,,,,,
Brenner,7.72,7.1,8.19,6.6,7.26,6.0,5.66,,,
Kenan Yıldız,8.17,5.71,,,,,,,,
Andrea Cambiaso,8.16,5.96,5.58,5.75,,,,,,
Manuel Locatelli,6.83,6.32,7.95,7.21,7.95,6.83,7.0,7.57,5.8,7.59
Teun Koopmeiners,7.77,8.45,7.64,6.16,,,,,,
Mattia Perin,6.06,5.63,8.36,6.42,7.55,5.47,5.68,7.42,7.31,7.84
Federico Gatti,5.67,6.15,8.12,,,,,,,
Samuel Mbangula,8.36,,,,,,,,,
Nicolò Savona,7.17,,,,,,,,,
